state_name,alc__alcohol_hs,alc__binge_adult,alc__binge_hs,arth__activity_limit_arth,arth__arth_adult,arth__self_mgmt_class_arth,arth__inactive_arth,arth__pa_counsel_arth,arth__severe_joint_pain_arth,arth__work_limit_arth_18_64,asth__asthma_adult,can__screen_cervical_w21_65,can__screen_colorectal_45_75,can__mammo_w50_74,cvd__hbp_adult,cvd__high_chol_screened_adult,cvd__med_high_chol_adult,cvd__med_hbp_adult,copd__copd_adult,copd__smoking_copd_adult,cog__scd_discussed_hcp_45plus,cog__caregiver_friend_family_adult,cog__caregiver_dementia_adult,cog__scd_45plus,dm__diabetes_adult,dm__gest_diabetes_recent_birth,dis__any_disability_adult,hs__chronic2plus_adult,hs__fair_poor_health_adult,hs__phys_distress_freq_adult,imm__flu_vax_adult,imm__flu_vax_risk_18_64,imm__pneumo_vax_risk_18_64,imm__pneumo_vax_65plus,mat__postpartum_check_recent_birth,mh__depression_adult,mh__mental_distress_freq_adult,mh__postpartum_depr_recent_birth,npaw__pa_guideline_6_13,npaw__fruit_lt1_daily_adult,npaw__fruit_lt1_daily_hs,npaw__soda_ge1_daily_hs,npaw__veg_lt1_daily_adult,npaw__veg_lt1_daily_hs,npaw__breastfed_12m,npaw__exclusive_breastfed_6m,npaw__pa_guideline_hs,npaw__pa_guideline_adult,npaw__no_leisure_pa_adult,npaw__obesity_wic_2_4,npaw__obesity_adult,npaw__obesity_hs,oral__all_teeth_lost_65plus,oral__no_teeth_lost_18_64,oral__prev_dental_pre_preg_recent_birth,oral__prev_dental_child_1_17,oral__teeth_lost_6plus_65plus,oral__dentist_visit_past_year_adult,oral__dentist_visit_child_1_17,sleep__short_sleep_adult,sleep__short_sleep_child_4m_14y,sleep__short_sleep_hs,sdoh__food_insecure_household,sdoh__ins_after_preg_recent_birth,sdoh__ins_before_preg_recent_birth,sdoh__hs_completion_18_24,sdoh__no_ins_18_64,sdoh__poverty_lt150_all,sdoh__no_broadband_household,sdoh__routine_checkup_adult,sdoh__unemployment_16plus_lf,tob__smoking_preg_recent_birth,tob__cig_smoking_adult,tob__vape_hs,tob__smokeless_hs,tob__any_tobacco_hs,tob__quit_attempt_adult_smokers
Alabama,14.05,11.375,8.97,19.1,30.900000000000002,16.65,35.55,54.05,43.650000000000006,43.55,13.7,85.7,69.6,77.5,42.7,40.05,48.5,84.1,8.399999999999999,43.06666666666666,42.0,22.7,23.9,14.2,20.1,8.299999999999999,34.85,26.575,24.35,9.775,37.3,36.9,29.1,70.05,87.76666666666667,21.95,18.75,20.400000000000002,24.8,44.35,10.3,19.68,24.95,9.4,24.85,20.4,27.1,49.6,30.15,13.2,36.925,12.600000000000001,20.450000000000003,46.0,33.766666666666666,25.35,41.3,61.3,79.6,44.3,43.65,77.2,13.1,46.53333333333333,72.56666666666666,92.05000000000001,14.575,30.549999999999997,16.6,71.175,6.7,9.466666666666667,16.75,21.2,3.95,25.7,57.45
Alaska,18.75,19.35,9.67,12.0,25.2,17.4,21.55,67.95,23.450000000000003,40.3,11.525,73.3,60.2,67.85,36.75,41.45,28.5,66.85,8.375,34.9,36.9,21.5,21.2,7.4,10.95,19.3,25.675,18.849999999999998,14.4,11.55,42.375,43.125,23.75,57.85,82.65,17.025,13.025,15.65,36.0,45.25,8.36,13.81,17.95,7.5,51.5,31.049999999999997,21.85,52.7,19.625,14.1,33.075,16.28,11.25,60.35,50.2,49.55,41.15,63.0,75.0,35.150000000000006,32.0,77.89,9.5,84.55,83.2,80.35,10.375,26.15,11.6,69.025,6.3,16.7,20.675,23.240000000000002,7.92,30.6,42.15
Arizona,27.9,16.025,12.899999999999999,5.4,25.566666666666666,24.049999999999997,31.299999999999997,61.75,28.299999999999997,41.9,12.7,76.3,50.7,75.85,34.7,37.05,25.5,57.25,6.575,29.76666666666667,39.05,16.9,30.6,12.4,14.8,11.649999999999999,33.175,17.4,18.575,13.775,38.225,35.825,27.325,72.0,88.70000000000002,17.275,17.625,13.290000000000001,17.25,39.9,10.1,14.85,16.75,6.699999999999999,38.599999999999994,24.75,18.2,63.8,27.475,9.2,41.7,12.75,23.0,67.69999999999999,50.28,45.1,28.2,62.400000000000006,82.4,31.8,22.35,82.4,10.1,91.25,89.57999999999998,85.75,11.9,27.65,10.55,71.075,5.3,8.3,15.049999999999999,20.75,2.65,23.55,55.85
Arkansas,26.0,8.4,9.75,11.9,26.899999999999995,14.149999999999999,33.65,71.69999999999999,33.55,53.9,9.625,81.0,59.0,73.15,45.849999999999994,44.3,40.900000000000006,89.1,6.425000000000001,51.833333333333336,46.7,27.8,30.8,12.2,21.975,10.333333333333334,39.45,20.675,28.55,13.850000000000001,34.475,45.3,28.65,71.7,83.93333333333334,29.775,22.5,22.3,24.9,34.400000000000006,13.100000000000001,22.85,21.3,12.45,27.95,22.1,26.2,57.4,35.25,19.1,32.2,18.200000000000003,20.4,61.3,23.866666666666664,44.3,40.9,56.15,76.9,41.0,41.95,76.9,15.0,87.16666666666667,87.59999999999998,90.05000000000001,21.53333333333333,28.5,17.0,68.23333333333333,4.85,9.766666666666667,14.275,10.95,4.8,19.6,53.833333333333336
California,26.39,13.975,7.89,7.35,30.266666666666666,17.75,34.65,70.3,35.4,38.15,10.35,82.9,46.3,73.55000000000001,29.35,30.65,32.7,82.0,5.225,22.400000000000002,39.5,22.6,25.4,7.95,16.075,12.33,30.8,15.924999999999999,15.725,13.175,41.725,45.25,31.549999999999997,61.375,88.48,15.7,14.925,12.970000000000002,22.049999999999997,34.95,6.15,12.15,28.549999999999997,5.499999999999999,45.650000000000006,30.35,19.769999999999996,68.3,17.625,16.4,26.975,14.55,8.15,72.19999999999999,37.18,36.650000000000006,24.15,69.7,80.5,36.15,26.4,72.89,9.6,85.39,80.63000000000001,92.05,13.350000000000001,27.6,8.6,68.425,6.35,5.33,11.075000000000001,20.21,1.1600000000000001,21.54,62.1
Colorado,30.85,18.75,14.0,8.65,29.0,15.7,24.25,65.9,35.0,46.150000000000006,9.45,82.6,54.6,72.05000000000001,16.15,37.900000000000006,27.85,50.15,5.4,27.933333333333334,43.4,19.5,26.1,11.4,7.45,8.533333333333333,22.975,17.25,14.2,9.4,45.0,45.875,30.475,67.65,90.5,20.925,14.55,13.433333333333332,28.25,38.900000000000006,6.35,13.02,25.85,3.9,41.1,30.4,24.8,58.9,17.5,6.9,27.1,11.9,7.25,71.8,35.800000000000004,49.65,37.650000000000006,66.05,85.65,35.3,24.799999999999997,72.45,10.5,91.53333333333335,94.36666666666667,89.55000000000001,15.199999999999998,19.1,7.95,72.03333333333333,5.1,5.033333333333333,12.875,19.049999999999997,5.6,22.82,61.7
Connecticut,27.549999999999997,14.625,7.3,9.7,28.96666666666667,12.45,29.6,66.0,28.799999999999997,46.150000000000006,12.2,87.3,66.8,78.6,25.400000000000002,32.45,32.4,75.6,6.0,30.23333333333333,50.45,16.1,27.4,8.25,11.2,17.466666666666665,23.025,21.5,17.075,12.399999999999999,60.325,50.575,26.125,72.1,90.43333333333334,16.225,16.525,12.166666666666666,25.25,38.150000000000006,8.25,13.77,23.9,8.75,35.55,22.85,26.45,54.4,21.275,16.5,30.075000000000003,12.8,9.05,69.55,42.233333333333334,51.2,24.85,73.3,80.65,42.15,29.1,77.45,9.6,88.0,89.63333333333333,90.4,9.799999999999999,23.849999999999998,9.65,82.7,6.4,2.3666666666666667,10.6,15.149999999999999,2.25,13.5,65.45
Delaware,17.21,16.475,10.009999999999998,11.049999999999999,23.73333333333333,12.25,38.3,70.2,29.05,42.4,9.05,83.2,51.400000000000006,77.75,37.5,44.599999999999994,30.1,59.7,5.9,33.199999999999996,44.5,8.3,28.2,10.1,15.25,17.566666666666666,28.4,21.525,18.075,11.725,47.175,41.25,28.5,68.95,91.43333333333334,14.75,13.55,5.166666666666667,25.1,31.95,7.83,14.43,16.5,8.6,31.2,23.45,21.590000000000003,42.7,23.7,14.8,36.875,16.6,12.9,65.15,30.8,47.5,29.65,67.15,82.3,38.150000000000006,34.900000000000006,82.21000000000001,11.2,97.23333333333333,83.73333333333333,85.8,27.425,24.9,9.25,81.225,4.85,6.6000000000000005,11.675,15.039999999999997,4.5600000000000005,20.94,52.95
District of Columbia,20.299999999999997,19.8,12.15,6.1,8.5,17.15,34.599999999999994,77.7,22.099999999999998,35.65,15.775,86.6,67.7,74.7,24.049999999999997,33.9,29.45,47.3,4.2,29.866666666666664,43.3,19.11632653061224,23.883673469387748,6.8,10.725,5.866666666666667,17.4,15.525,9.475,10.425,59.900000000000006,55.35,26.85,70.125,94.89999999999999,18.125,12.524999999999999,14.533333333333333,19.1,30.25,8.2,14.600000000000001,19.2,7.659999999999999,38.4,28.65,17.25,44.0,16.35,18.7,20.575,12.100000000000001,13.450000000000001,86.95,40.53333333333333,50.95,31.9,67.65,83.15,31.75,18.25,76.1,9.0,98.39999999999999,89.7,95.44999999999999,4.7,14.0,11.25,83.275,5.75,3.766666666666667,12.175,9.75,4.7,21.45,66.55000000000001
Florida,24.9,14.68,14.0,10.82,29.746666666666666,16.46,30.89,70.33,40.25,43.43,8.95,81.6,68.9,76.0,33.69,36.67,29.56,76.11,7.87,36.07333333333333,48.7,20.80816326530612,23.991836734693877,11.0,10.36,11.0,27.195,27.925,16.96,14.41,38.975,38.875,31.67,63.040000000000006,89.4,19.07,15.274999999999999,16.05,26.05,40.36,8.1,15.850000000000001,18.55,12.1,28.9,20.2,22.35,55.6,23.88,13.1,30.630000000000003,14.399999999999999,13.25,53.25,36.75,34.0,30.55,57.849999999999994,82.25,42.55,47.3,81.4,9.9,85.94999999999999,74.15,86.4,19.455,21.3,11.3,79.72,4.55,4.15,17.814999999999998,18.57,5.09,24.94,50.23333333333333
Georgia,30.15,13.325,7.3999999999999995,13.149999999999999,24.0,18.55,24.75,52.9,29.85,43.150000000000006,10.375,40.8,62.55,75.6,19.95,38.85,40.5,78.95,7.625,34.63333333333333,46.35,19.1,24.85,12.55,10.950000000000001,12.799999999999999,32.55,15.2,19.25,13.825,38.875,42.9,22.65,73.025,93.03333333333335,13.575,13.05,11.533333333333333,22.05,40.95,8.85,14.48,19.2,15.2,28.55,17.3,21.55,52.8,27.400000000000002,19.6,32.2,16.7,18.75,50.7,33.86666666666667,36.150000000000006,40.95,59.6,69.5,43.7,41.25,76.27000000000001,9.9,87.0,74.89999999999999,83.7,26.5,15.95,12.5,72.9,7.1,2.6666666666666665,16.35,10.5,1.5,26.650000000000002,56.9
Guam,28.08,15.725,5.680000000000001,3.6500000000000004,11.533333333333333,24.5,41.25,67.0,31.25,44.849999999999994,6.15,71.1,38.35,69.65,22.2,26.349999999999998,37.099999999999994,67.1,4.73,36.23333333333333,45.385,19.190051020408163,23.830141287284142,10.500000000000002,20.125,16.689999999999998,26.275,13.225,19.225,9.15,40.15,31.625,17.700000000000003,32.875,88.03,9.275,12.75,12.649999999999999,26.29423076923077,38.95,9.239999999999998,16.61,28.6,9.5,36.559999999999995,23.619999999999997,19.880000000000003,41.5,31.275000000000002,8.7,33.75,21.33,14.66,57.95,40.89,46.137499999999996,43.5,58.3,80.60288461538461,49.6,34.78365384615385,80.05000000000001,10.315384615384614,90.00999999999999,84.33,87.19,20.866666666666664,22.880000000000003,11.56,75.10000000000001,6.1,3.83,22.225,19.93,7.79,29.5,59.0
Hawaii,16.049999999999997,23.275,10.7,7.45,21.866666666666664,23.0,27.9,63.95,41.8,37.6,8.675,80.6,66.7,82.05,44.5,15.850000000000001,27.45,67.05000000000001,3.8499999999999996,20.633333333333333,37.75,20.15,25.25,9.850000000000001,10.45,13.733333333333334,24.45,13.625,14.775,8.55,45.35,50.474999999999994,25.1,63.0,94.7,14.05,11.925,10.666666666666666,14.8,44.25,9.55,13.5,25.85,9.85,50.7,27.15,16.799999999999997,52.6,17.075,4.8,25.8,20.0,4.85,67.55,16.599999999999998,58.05,18.35,73.44999999999999,88.9,44.05,38.55,74.85,9.1,94.23333333333333,97.83333333333333,93.25,7.366666666666666,12.7,10.25,80.33333333333333,4.75,2.466666666666667,14.3,28.299999999999997,3.0900000000000003,30.96,54.75
Idaho,31.9,11.55,15.450000000000001,10.45,35.0,16.7,33.849999999999994,63.25,24.65,38.650000000000006,10.975,77.6,60.55,68.55,31.75,25.7,34.8,63.150000000000006,11.125,30.96666666666667,46.05,22.9,28.2,10.05,12.825,11.100000000000001,32.6,18.6,13.775,13.15,40.45,45.0,29.75,65.725,88.2,20.575,15.075,13.74,30.65,44.65,7.0,7.6,16.35,3.3499999999999996,40.55,30.75,17.2,56.7,20.675,10.5,35.275,13.25,12.65,73.7,39.480000000000004,59.25,27.6,69.0,84.1,38.1,28.9,78.96000000000001,9.8,87.47,81.41999999999999,87.65,23.575,24.05,10.55,74.15,3.25,6.470000000000001,21.65,25.95,2.65,20.5,51.35
Illinois,23.35,16.375,8.700000000000001,5.9,13.933333333333332,15.450000000000001,27.9,69.05,34.900000000000006,39.4,9.175,66.7,59.25,73.44999999999999,36.2,23.35,27.900000000000002,81.30000000000001,6.3,31.2,43.8,19.9,29.1,6.9,10.075,13.466666666666667,22.25,13.575,14.95,11.975,47.35,47.175,30.075000000000003,64.17500000000001,92.03333333333335,15.649999999999999,12.475,12.1,26.15,33.95,8.8,13.55,18.5,7.3,35.15,27.200000000000003,16.75,56.0,33.15,13.0,36.9,15.45,15.6,76.55000000000001,42.86666666666667,36.8,28.450000000000003,65.65,80.55,41.4,32.75,77.8,9.4,89.43333333333334,88.96666666666665,89.0,11.799999999999999,28.25,12.05,75.06666666666666,10.6,1.9333333333333333,11.25,15.399999999999999,3.6999999999999997,7.6499999999999995,55.9
Indiana,22.130000000000003,18.9,13.600000000000001,10.7,27.599999999999998,15.45,39.15,71.19999999999999,36.2,44.3,11.425,81.2,61.599999999999994,72.3,26.05,26.950000000000003,31.049999999999997,86.35,11.125,41.76666666666667,46.900000000000006,26.0,19.7,11.0,13.875,11.35,26.15,21.775,20.175,13.325,46.35,36.125,29.5,69.55,86.35999999999999,20.275,15.375,14.120000000000001,30.099999999999998,35.849999999999994,8.040000000000001,17.34,20.95,9.459999999999999,28.950000000000003,22.2,20.979999999999997,47.5,29.45,10.8,37.675,21.07,19.0,69.65,38.07000000000001,41.0,31.5,64.45,82.4,37.75,34.900000000000006,82.34,9.7,83.38999999999999,81.72,88.05,13.425,21.75,13.25,85.8,3.95,6.510000000000001,18.35,19.33,4.9399999999999995,18.860000000000003,49.2
Iowa,26.55,21.075,8.7,8.65,21.633333333333336,16.1,29.95,64.05,28.950000000000003,34.1,10.525,84.8,65.2,74.25,32.7,36.15,21.4,88.25,6.0,37.333333333333336,40.400000000000006,7.7,18.9,10.5,10.85,7.8,20.55,14.575,17.45,9.325,44.4,46.775,34.975,75.75,84.3,18.4,11.850000000000001,12.25,34.1,42.9,8.25,14.8,34.3,8.05,37.400000000000006,26.0,19.45,50.6,24.575,20.0,40.3,14.149999999999999,10.25,69.75,54.1,42.7,30.8,56.4,88.0,33.3,29.45,78.5,7.0,78.6,74.65,89.0,8.275,16.8,13.75,66.675,5.95,4.45,12.799999999999999,29.4,2.9,16.0,48.35
Kansas,25.1,16.475,16.0,12.600000000000001,14.266666666666666,18.85,40.25,65.35,41.05,51.6,11.5,88.3,62.05,69.94999999999999,38.15,36.4,33.7,41.95,6.625,26.933333333333334,47.9,15.7,21.1,11.3,15.65,10.5,27.9,21.1,19.6,11.625,51.25,41.2,28.75,63.325,89.89999999999999,17.6,17.35,14.166666666666666,30.1,45.3,7.15,13.9,20.95,7.75,37.95,25.7,14.1,52.2,25.85,15.1,36.55,17.55,12.35,59.699999999999996,43.06666666666666,46.599999999999994,30.85,62.599999999999994,68.0,37.0,31.55,79.15,10.2,83.46666666666665,73.63333333333334,86.35,15.425,18.0,12.7,65.85,3.55,6.066666666666666,17.075,8.95,5.699999999999999,20.65,55.650000000000006
Kentucky,24.85,11.850000000000001,5.95,13.649999999999999,29.53333333333333,12.55,39.75,64.3,36.4,52.650000000000006,10.825,83.8,68.05,72.9,45.35,33.4,38.349999999999994,64.85,11.675,48.63333333333333,39.1,20.6,22.4,10.6,15.675,18.3,41.65,27.05,27.4,17.475,45.675,39.475,34.35,68.42500000000001,91.0,27.325,19.975,18.8,29.9,43.55,10.149999999999999,26.65,26.85,10.65,32.8,20.549999999999997,21.3,41.3,33.825,21.5,38.225,17.6,22.65,64.25,43.4,38.4,45.3,59.85,84.05,39.75,41.25,80.85,12.3,84.55,70.25,89.19999999999999,7.425,30.15,14.6,72.725,5.65,14.5,20.125,30.299999999999997,1.7999999999999998,15.1,48.13333333333333
Louisiana,27.2,23.55,8.45,10.4,16.7,14.95,38.25,69.45,45.6,47.7,10.5,82.2,65.75,88.3,30.2,39.6,25.35,80.8,7.824999999999999,48.56666666666666,45.9,27.7,22.8,13.8,17.825,11.866666666666667,36.3,22.125,24.0,14.825000000000001,37.575,39.875,32.1,69.15,85.26666666666667,28.875,16.125,14.466666666666669,21.85,53.45,14.15,16.9,25.15,13.0,24.15,20.85,23.549999999999997,43.6,29.65,20.1,38.575,20.0,18.9,57.45,37.300000000000004,33.900000000000006,36.150000000000006,59.35,84.19999999999999,33.9,47.9,81.80000000000001,14.5,78.5,89.2,88.55000000000001,11.633333333333333,23.3,17.05,77.36666666666666,6.050000000000001,5.366666666666667,20.25,17.45,5.0,34.35,58.55
Maine,21.35,17.075,10.36,20.25,34.0,13.649999999999999,32.15,69.3,33.25,39.95,14.55,85.4,71.5,79.4,36.75,23.4,40.0,68.1,8.0,37.666666666666664,51.85,17.35,25.15,8.7,12.925,10.433333333333334,38.825,35.45,20.2,10.05,44.075,50.6,31.575000000000003,71.925,87.60000000000001,25.825,11.8,10.666666666666666,37.6,43.2,5.1,16.33,11.899999999999999,11.24,41.45,30.549999999999997,23.950000000000003,49.0,26.525,14.8,36.85,18.5,15.850000000000001,63.25,36.666666666666664,47.45,33.85,46.900000000000006,79.4,33.1,28.15,76.94,9.5,94.2,88.96666666666665,88.15,10.174999999999999,46.85,13.149999999999999,70.5,4.25,8.266666666666666,16.675,13.2,2.6500000000000004,22.9,54.150000000000006
Maryland,25.55,12.425,11.149999999999999,11.75,30.099999999999998,12.45,25.9,78.25,34.650000000000006,36.35,10.05,71.5,66.19999999999999,83.55000000000001,33.4,36.65,44.5,60.650000000000006,5.625,36.26666666666667,45.0,16.1,25.3,11.1,14.825,14.3,23.224999999999998,12.325,12.275,7.325,51.474999999999994,53.25,33.375,72.475,89.75,16.9,8.575,13.4,24.75,37.5,9.85,13.05,16.7,9.55,42.65,25.799999999999997,17.8,50.4,20.174999999999997,17.0,27.15,14.75,7.75,68.5,43.75,48.3,27.4,65.9,87.0,37.0,43.55,77.83000000000001,8.7,96.85,90.3,92.2,21.733333333333334,17.35,9.55,75.0,5.65,2.5,16.325,16.55,8.05,17.0,51.650000000000006
Massachusetts,18.35,15.875,19.299999999999997,8.15,29.366666666666664,14.149999999999999,29.4,69.1,23.950000000000003,34.4,13.225,82.6,57.3,83.69999999999999,14.85,44.35,42.4,56.65,4.4,28.433333333333334,45.385,12.9,26.1,10.500000000000002,10.475,10.966666666666667,31.075,15.25,17.975,12.825,56.925,52.025000000000006,31.825,69.425,90.7,19.725,13.05,11.4,23.55,39.650000000000006,9.15,9.05,18.450000000000003,9.25,44.45,27.1,17.95,60.9,19.7,17.1,25.825,20.35,10.100000000000001,73.0,53.56666666666666,47.25,29.35,65.15,91.6,40.45,26.2,80.25,8.4,99.5,96.13333333333333,91.5,7.675,14.649999999999999,9.45,78.875,6.199999999999999,2.733333333333333,11.95,17.6,2.51,50.3,52.85
Michigan,19.0,9.875,9.8,14.7,32.03333333333333,15.75,29.35,68.75,35.849999999999994,41.95,14.925,90.5,67.0,75.5,39.0,27.45,34.2,79.65,9.725,37.06666666666666,52.45,21.4,23.3,10.95,13.675,10.133333333333333,23.5,17.6,19.575,12.65,35.05,48.575,28.6,72.4,91.66666666666667,22.95,17.05,16.066666666666666,33.95,39.95,8.2,10.6,20.799999999999997,8.05,33.8,24.5,21.5,51.7,23.9,13.1,35.725,21.85,11.7,74.75,36.766666666666666,39.5,29.9,58.349999999999994,82.2,37.599999999999994,38.55,87.1,11.4,96.13333333333333,95.76666666666667,85.95,10.2,14.6,12.1,72.3,4.95,6.233333333333334,18.75,22.15,5.7,22.85,57.45
Minnesota,27.749999999999996,19.674999999999997,8.0,8.65,19.5,26.5,28.25,67.15,23.65,38.5,10.1,82.2,51.0,72.7,27.9,27.5,32.7,81.3,8.425,32.06666666666667,41.8,10.8,24.0,7.6,11.175,10.799999999999999,22.675,7.975,11.25,9.025,54.75,48.3,26.575000000000003,73.325,85.56666666666666,20.375,12.825,16.833333333333332,26.35,37.45,7.580000000000001,14.85,23.8,9.120000000000001,48.2,34.5,20.35,58.0,21.775,14.8,26.35,17.62,8.5,77.25,41.266666666666666,69.0,22.5,63.3,82.75,26.75,27.6,75.22999999999999,7.4,92.16666666666667,82.56666666666666,83.15,11.35,29.2,10.45,63.4,6.45,16.933333333333334,9.15,21.799999999999997,3.1400000000000006,21.68,43.775
Mississippi,21.55,10.45,7.5,13.65,46.43333333333334,9.75,43.1,66.55000000000001,47.35,46.400000000000006,9.75,86.9,60.0,74.65,50.35,41.65,45.75,73.05,10.375,42.166666666666664,43.1,28.3,18.7,12.9,14.85,8.700000000000001,38.775,29.175,19.65,14.275,34.875,34.275,24.6,65.975,87.06666666666666,18.7,15.325,22.766666666666666,30.45,49.15,11.899999999999999,23.15,22.4,18.950000000000003,24.35,16.95,22.65,42.6,32.95,13.4,41.7,23.200000000000003,22.15,47.65,28.400000000000002,36.45,38.65,34.95,81.8,33.900000000000006,45.45,77.55,15.3,78.46666666666665,77.60000000000001,81.85,17.525,29.9,20.55,80.8,9.45,11.799999999999999,20.5,22.45,7.1,20.95,55.675
